"BehaviorSpace results (NetLogo 6.1.1)"
"Wolf Sheep Predation.nlogo"
"wolf-sheep-grass-simpler"
"04/21/2020 12:31:36:944 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","wolf-gain-from-food","show-energy?","initial-number-wolves","wolf-reproduce","initial-number-sheep","model-version","sheep-gain-from-food","grass-regrowth-time","sheep-reproduce","[step]","count sheep","count wolves","count turtles"
"2","20","false","10","5","60","sheep-wolves-grass","4","20","4","1000","104","14","118"
"4","20","false","10","5","60","sheep-wolves-grass","4","20","4","1000","299","23","322"
"3","20","false","10","5","60","sheep-wolves-grass","4","20","4","1000","122","38","160"
"6","20","false","10","5","60","sheep-wolves-grass","4","20","4","1000","253","53","306"
"7","20","false","10","5","60","sheep-wolves-grass","4","20","4","1000","84","63","147"
"5","20","false","10","5","60","sheep-wolves-grass","4","20","4","1000","379","0","379"
"1","20","false","10","5","60","sheep-wolves-grass","4","20","4","1000","306","83","389"
"9","20","false","10","5","60","sheep-wolves-grass","4","20","4","1000","49","122","171"
"8","20","false","10","5","60","sheep-wolves-grass","4","20","4","1000","378","0","378"
"10","20","false","10","5","60","sheep-wolves-grass","4","20","4","1000","65","142","207"
"12","20","false","10","5","60","sheep-wolves-grass","4","20","4","1000","420","35","455"
"11","20","false","10","5","60","sheep-wolves-grass","4","20","4","1000","128","64","192"
"13","20","false","10","5","60","sheep-wolves-grass","4","20","4","1000","158","175","333"
"14","20","false","10","5","60","sheep-wolves-grass","4","20","4","1000","147","198","345"
"15","20","false","10","5","60","sheep-wolves-grass","4","20","4","1000","188","73","261"
"17","20","false","10","5","60","sheep-wolves-grass","4","20","4","1000","324","24","348"
"18","20","false","10","5","60","sheep-wolves-grass","4","20","4","1000","43","126","169"
"16","20","false","10","5","60","sheep-wolves-grass","4","20","4","1000","80","35","115"
"19","20","false","10","5","60","sheep-wolves-grass","4","20","4","1000","230","63","293"
"21","20","false","10","5","60","sheep-wolves-grass","4","30","4","1000","185","58","243"
"20","20","false","10","5","60","sheep-wolves-grass","4","20","4","1000","277","25","302"
"22","20","false","10","5","60","sheep-wolves-grass","4","30","4","1000","239","0","239"
"23","20","false","10","5","60","sheep-wolves-grass","4","30","4","1000","233","0","233"
"24","20","false","10","5","60","sheep-wolves-grass","4","30","4","1000","192","53","245"
"25","20","false","10","5","60","sheep-wolves-grass","4","30","4","1000","134","100","234"
"27","20","false","10","5","60","sheep-wolves-grass","4","30","4","1000","213","68","281"
"26","20","false","10","5","60","sheep-wolves-grass","4","30","4","1000","136","103","239"
"28","20","false","10","5","60","sheep-wolves-grass","4","30","4","1000","187","72","259"
"29","20","false","10","5","60","sheep-wolves-grass","4","30","4","1000","148","72","220"
"30","20","false","10","5","60","sheep-wolves-grass","4","30","4","1000","145","62","207"
"32","20","false","10","5","60","sheep-wolves-grass","4","30","4","1000","136","71","207"
"33","20","false","10","5","60","sheep-wolves-grass","4","30","4","1000","169","67","236"
"31","20","false","10","5","60","sheep-wolves-grass","4","30","4","1000","141","70","211"
"34","20","false","10","5","60","sheep-wolves-grass","4","30","4","1000","155","84","239"
"35","20","false","10","5","60","sheep-wolves-grass","4","30","4","1000","130","77","207"
"36","20","false","10","5","60","sheep-wolves-grass","4","30","4","1000","147","74","221"
"37","20","false","10","5","60","sheep-wolves-grass","4","30","4","1000","206","57","263"
"38","20","false","10","5","60","sheep-wolves-grass","4","30","4","1000","153","94","247"
"39","20","false","10","5","60","sheep-wolves-grass","4","30","4","1000","193","65","258"
"40","20","false","10","5","60","sheep-wolves-grass","4","30","4","1000","126","94","220"
"41","20","false","10","5","60","sheep-wolves-grass","4","40","4","1000","153","40","193"
"42","20","false","10","5","60","sheep-wolves-grass","4","40","4","1000","156","38","194"
"43","20","false","10","5","60","sheep-wolves-grass","4","40","4","1000","173","33","206"
"44","20","false","10","5","60","sheep-wolves-grass","4","40","4","1000","120","65","185"
"46","20","false","10","5","60","sheep-wolves-grass","4","40","4","1000","162","51","213"
"45","20","false","10","5","60","sheep-wolves-grass","4","40","4","1000","170","19","189"
"47","20","false","10","5","60","sheep-wolves-grass","4","40","4","1000","178","35","213"
"48","20","false","10","5","60","sheep-wolves-grass","4","40","4","1000","168","23","191"
"49","20","false","10","5","60","sheep-wolves-grass","4","40","4","1000","154","38","192"
"51","20","false","10","5","60","sheep-wolves-grass","4","40","4","1000","202","0","202"
"52","20","false","10","5","60","sheep-wolves-grass","4","40","4","1000","208","0","208"
"50","20","false","10","5","60","sheep-wolves-grass","4","40","4","1000","150","48","198"
"53","20","false","10","5","60","sheep-wolves-grass","4","40","4","1000","192","26","218"
"54","20","false","10","5","60","sheep-wolves-grass","4","40","4","1000","129","64","193"
"55","20","false","10","5","60","sheep-wolves-grass","4","40","4","1000","156","29","185"
"56","20","false","10","5","60","sheep-wolves-grass","4","40","4","1000","177","32","209"
"57","20","false","10","5","60","sheep-wolves-grass","4","40","4","1000","156","48","204"
"58","20","false","10","5","60","sheep-wolves-grass","4","40","4","1000","180","12","192"
"59","20","false","10","5","60","sheep-wolves-grass","4","40","4","1000","198","0","198"
"60","20","false","10","5","60","sheep-wolves-grass","4","40","4","1000","196","15","211"
"61","20","false","10","5","90","sheep-wolves-grass","4","20","4","1000","79","180","259"
"62","20","false","10","5","90","sheep-wolves-grass","4","20","4","1000","69","36","105"
"63","20","false","10","5","90","sheep-wolves-grass","4","20","4","1000","88","208","296"
"65","20","false","10","5","90","sheep-wolves-grass","4","20","4","1000","247","123","370"
"64","20","false","10","5","90","sheep-wolves-grass","4","20","4","1000","354","16","370"
"66","20","false","10","5","90","sheep-wolves-grass","4","20","4","1000","166","190","356"
"67","20","false","10","5","90","sheep-wolves-grass","4","20","4","1000","411","50","461"
"68","20","false","10","5","90","sheep-wolves-grass","4","20","4","1000","219","18","237"
"69","20","false","10","5","90","sheep-wolves-grass","4","20","4","1000","76","52","128"
"70","20","false","10","5","90","sheep-wolves-grass","4","20","4","1000","333","12","345"
"71","20","false","10","5","90","sheep-wolves-grass","4","20","4","1000","72","73","145"
"72","20","false","10","5","90","sheep-wolves-grass","4","20","4","1000","162","5","167"
"74","20","false","10","5","90","sheep-wolves-grass","4","20","4","1000","198","24","222"
"75","20","false","10","5","90","sheep-wolves-grass","4","20","4","1000","130","22","152"
"73","20","false","10","5","90","sheep-wolves-grass","4","20","4","1000","123","125","248"
"76","20","false","10","5","90","sheep-wolves-grass","4","20","4","1000","379","63","442"
"77","20","false","10","5","90","sheep-wolves-grass","4","20","4","1000","333","44","377"
"78","20","false","10","5","90","sheep-wolves-grass","4","20","4","1000","208","41","249"
"79","20","false","10","5","90","sheep-wolves-grass","4","20","4","1000","207","69","276"
"80","20","false","10","5","90","sheep-wolves-grass","4","20","4","1000","72","54","126"
"81","20","false","10","5","90","sheep-wolves-grass","4","30","4","1000","187","67","254"
"82","20","false","10","5","90","sheep-wolves-grass","4","30","4","1000","164","74","238"
"83","20","false","10","5","90","sheep-wolves-grass","4","30","4","1000","159","81","240"
"84","20","false","10","5","90","sheep-wolves-grass","4","30","4","1000","210","94","304"
"85","20","false","10","5","90","sheep-wolves-grass","4","30","4","1000","182","88","270"
"86","20","false","10","5","90","sheep-wolves-grass","4","30","4","1000","157","75","232"
"88","20","false","10","5","90","sheep-wolves-grass","4","30","4","1000","174","80","254"
"87","20","false","10","5","90","sheep-wolves-grass","4","30","4","1000","167","57","224"
"89","20","false","10","5","90","sheep-wolves-grass","4","30","4","1000","153","87","240"
"90","20","false","10","5","90","sheep-wolves-grass","4","30","4","1000","167","82","249"
"91","20","false","10","5","90","sheep-wolves-grass","4","30","4","1000","134","80","214"
"93","20","false","10","5","90","sheep-wolves-grass","4","30","4","1000","168","74","242"
"92","20","false","10","5","90","sheep-wolves-grass","4","30","4","1000","163","80","243"
"94","20","false","10","5","90","sheep-wolves-grass","4","30","4","1000","132","76","208"
